datetime,open,high,low,close,volume
2022-02-08,17905,18046,17863,17939,208656
2022-02-09,17974,18169,17947,18166,172905
2022-02-10,18171,18338,18133,18335,201019
2022-02-11,18369,18397,18182,18293,244391
2022-02-14,18288,18380,17934,17971,294017
2022-02-15,17959,18093,17829,17953,279697
2022-02-16,17970,18249,17956,18218,181501
2022-02-17,18233,18330,18153,18241,299828
2022-02-18,18255,18275,18039,18230,255228
2022-02-21,18211,18243,17968,18213,290609
2022-02-22,18243,18255,17773,17876,350440
2022-02-23,17869,18060,17806,18043,300754
2022-02-24,18046,18093,17507,17509,439954
2022-02-25,17485,17702,17225,17610,487750
2022-03-01,17601,17942,17503,17915,336765
2022-03-02,17946,17979,17675,17842,315401
2022-03-03,17794,17965,17680,17925,310938
2022-03-04,17936,17945,17526,17663,347765
2022-03-07,17691,17747,17051,17057,433164
2022-03-08,17083,17175,16696,16698,497692
2022-03-09,16691,17023,16638,16947,435572
2022-03-10,16973,17456,16958,17435,302215
2022-03-11,17450,17497,17169,17218,371144
2022-03-14,17280,17394,17111,17238,354036
2022-03-15,17256,17320,16861,16886,355044
2022-03-16,16850,17094,16728,16932,309295
2022-03-17,17017,17468,16975,17446,394360
2022-03-18,17463,17496,17294,17386,337512
2022-03-21,17393,17576,17305,17485,291032
2022-03-22,17507,17566,17440,17525,239507
2022-03-23,17531,17735,17519,17702,237660
2022-03-24,17699,17700,17547,17670,259982
2022-03-25,17658,17761,17591,17620,254217
2022-03-28,17626,17661,17304,17440,329213
2022-03-29,17450,17582,17433,17544,243859
2022-03-30,17555,17755,17540,17741,275939
2022-03-31,17746,17774,17620,17635,232781
2022-04-01,17618,17662,17414,17557,265425
2022-04-06,17571,17624,17328,17503,263936
2022-04-07,17508,17522,17123,17141,317284
2022-04-08,17182,17310,17134,17308,271068
2022-04-11,17329,17383,16976,17035,335764
2022-04-12,17037,17100,16906,17000,307837
2022-04-13,17017,17320,16975,17319,295717
2022-04-14,17295,17353,17248,17297,223110
2022-04-15,17310,17331,16960,16985,283093
2022-04-18,16973,17020,16814,16884,210874
2022-04-19,16888,17122,16880,16996,233947
2022-04-20,17005,17138,16942,17072,200893
2022-04-21,17060,17222,17050,17124,254392
2022-04-22,17113,17192,16823,16990,279559
2022-04-25,16998,17013,16507,16571,348364
2022-04-26,16509,16667,16490,16585,312710
2022-04-27,16566,16575,16160,16287,407671
2022-04-28,16301,16415,16202,16386,382399
2022-04-29,16419,16660,16318,16580,369693
2022-05-03,16599,16622,16363,16474,310326
2022-05-04,16434,16589,16372,16520,260763
2022-05-05,16527,16776,16395,16682,297175
2022-05-06,16646,16648,16266,16358,357779
2022-05-09,16336,16418,16015,16026,403940
2022-05-10,16047,16091,15729,16039,391440
2022-05-11,16102,16115,15862,16008,355276
2022-05-12,16006,16093,15608,15629,470337
2022-05-13,15630,15855,15526,15850,381145
2022-05-16,15836,16044,15813,15923,293838
2022-05-17,15909,16096,15866,16074,236837
2022-05-18,16097,16318,16079,16197,193497
2022-05-19,16197,16216,15820,15909,341180
2022-05-20,15897,16145,15749,16135,388448
2022-05-23,16123,16263,15852,16147,419740
2022-05-24,16185,16243,15915,15927,341808
2022-05-25,15908,16146,15835,16065,344879
2022-05-26,16078,16202,15928,15947,398048
2022-05-27,15952,16245,15944,16231,294648
2022-05-30,16252,16583,16225,16560,247364
2022-05-31,16560,16716,16460,16636,231071
2022-06-01,16650,16755,16550,16607,299438
2022-06-02,16621,16668,16465,16531,298719
2022-06-06,16561,16700,16463,16599,297054
2022-06-07,16602,16704,16406,16463,294009
